"日付け","終値","始値","高値","安値","出来高","前日比%"
"2017年12月26日","1,848,630","1,550,994","1,848,630","1,547,276","19.78K","19.19%"
"2017年12月25日","1,550,994","1,780,591","1,780,591","1,511,755","13.79K","-6.96%"
"2017年12月24日","1,667,016","1,778,569","1,901,316","1,511,755","22.87K","-6.27%"
"2017年12月23日","1,778,569","1,593,787","1,901,316","1,254,142","27.57K","11.59%"
"2017年12月22日","1,593,787","1,830,241","1,993,563","1,260,284","47.28K","-12.92%"
"2017年12月21日","1,830,241","1,875,889","2,105,416","1,768,900","18.78K","-2.43%"
"2017年12月20日","1,875,889","2,022,145","2,242,397","0","24.76K","-7.23%"
"2017年12月19日","2,022,145","2,126,783","2,315,512","1,996,292","20.60K","-4.92%"
"2017年12月18日","2,126,783","2,214,558","2,262,222","2,006,446","17.31K","-3.96%"
"2017年12月17日","2,214,558","2,052,465","2,262,287","1,997,852","16.92K","0.24%"
"2017年12月16日","2,209,283","1,989,046","2,217,505","1,947,709","15.13K","11.07%"
"2017年12月15日","1,989,046","1,942,726","2,131,322","1,796,235","16.96K","4.95%"
"2017年12月14日","1,895,237","1,941,908","2,018,950","1,831,000","9.23K","-2.40%"
"2017年12月13日","1,941,908","1,983,781","2,130,096","1,847,228","16.68K","0.46%"
"2017年12月12日","1,933,007","1,905,039","2,140,086","1,817,204","16.79K","1.47%"
"2017年12月11日","1,905,039","1,818,393","1,972,393","1,556,472","26.93K","4.76%"
"2017年12月10日","1,818,393","1,673,591","1,868,058","1,555,838","42.63K","8.65%"
"2017年12月09日","1,673,591","1,820,944","1,959,641","1,516,033","25.00K","-8.09%"
"2017年12月08日","1,820,944","1,754,376","1,977,980","1,516,033","40.75K","15.24%"
"2017年12月07日","1,580,145","1,365,653","1,870,080","1,337,650","44.52K","7.41%"
"2017年12月06日","1,471,159","1,225,148","1,531,442","1,225,148","26.48K","20.08%"
"2017年12月05日","1,225,148","1,299,437","1,439,675","1,225,148","13.13K","-5.72%"
"2017年12月04日","1,299,437","1,264,456","1,326,766","1,196,299","15.10K","2.77%"
"2017年12月03日","1,264,456","1,231,138","1,399,319","1,201,728","19.61K","2.52%"
"2017年12月02日","1,233,381","1,234,384","1,278,231","1,084,108","16.88K","-0.08%"
"2017年12月01日","1,234,384","1,153,536","1,354,617","1,018,747","22.71K","7.01%"
"2017年11月30日","1,153,536","1,117,038","1,835,626","1,016,418","34.97K","3.27%"
"2017年11月29日","1,117,038","1,138,710","2,570,511","1,058,304","45.12K","-1.90%"
"2017年11月28日","1,138,710","1,093,657","1,154,135","1,041,355","17.15K","4.12%"
"2017年11月27日","1,093,657","1,022,524","1,114,700","992,004","15.48K","4.30%"
"2017年11月26日","1,048,567","988,444","1,068,771","942,856","16.84K","6.08%"
"2017年11月25日","988,444","948,234","992,509","900,141","12.23K","4.24%"
"2017年11月24日","948,234","907,265","986,503","898,187","11.22K","2.46%"
"2017年11月23日","925,468","945,425","945,570","906,161","9.48K","-2.11%"
"2017年11月22日","945,425","921,410","952,313","898,173","8.11K","2.61%"
"2017年11月21日","921,410","923,098","944,850","900,330","18.97K","-0.18%"
"2017年11月20日","923,098","934,460","944,226","893,333","10.85K","4.58%"
"2017年11月19日","882,652","875,394","885,518","844,793","11.33K","0.83%"
"2017年11月18日","875,394","868,099","889,744","844,136","20.05K","0.84%"
"2017年11月17日","868,099","882,779","892,685","816,931","24.49K","-1.66%"
"2017年11月16日","882,779","845,315","883,367","788,609","24.22K","4.43%"
"2017年11月15日","845,315","801,679","847,555","770,153","20.79K","5.44%"
"2017年11月14日","801,679","791,935","830,950","662,666","15.97K","1.23%"
"2017年11月13日","791,935","714,078","828,713","665,116","43.58K","10.90%"
"2017年11月12日","714,078","785,832","858,565","713,734","57.29K","-9.13%"
"2017年11月11日","785,832","765,882","858,565","751,272","37.95K","2.60%"
"2017年11月10日","765,882","806,632","866,885","751,096","41.45K","-5.05%"
"2017年11月09日","806,632","866,073","890,715","806,285","22.11K","-6.86%"
"2017年11月08日","866,073","827,687","890,823","807,321","28.98K","4.64%"
"2017年11月07日","827,687","797,783","856,412","787,884","19.56K","3.75%"
"2017年11月06日","797,783","844,983","865,141","791,010","27.55K","-5.59%"
"2017年11月05日","844,983","861,002","865,634","818,642","20.92K","-1.86%"
"2017年11月04日","861,002","828,976","889,949","789,065","23.18K","3.86%"
"2017年11月03日","828,976","781,055","904,306","777,738","32.42K","2.86%"
"2017年11月02日","805,927","775,693","869,998","707,769","42.95K","3.90%"
"2017年11月01日","775,693","729,017","787,179","693,575","23.57K","6.40%"
"2017年10月31日","729,017","689,863","733,024","687,718","21.22K","5.68%"
"2017年10月30日","689,863","704,915","718,159","656,695","18.29K","-2.14%"
"2017年10月29日","704,915","663,574","711,090","653,967","20.21K","6.23%"
"2017年10月28日","663,574","662,773","681,126","652,498","13.84K","0.12%"
"2017年10月27日","662,773","672,772","692,997","652,498","20.10K","0.90%"
"2017年10月26日","656,882","661,909","692,724","617,153","25.09K","-0.76%"
"2017年10月25日","661,909","647,263","675,796","630,626","25.12K","2.26%"
"2017年10月24日","647,263","688,504","717,500","635,624","37.42K","-5.99%"
"2017年10月23日","688,504","674,718","699,988","657,828","35.69K","2.04%"
"2017年10月22日","674,718","683,720","705,573","666,582","25.60K","-1.32%"
"2017年10月21日","683,720","680,935","705,656","642,202","20.55K","0.41%"
"2017年10月20日","680,935","639,563","681,990","634,207","23.91K","6.47%"
"2017年10月19日","639,563","638,945","652,154","595,464","21.59K","0.10%"
"2017年10月18日","638,945","634,682","656,831","597,587","31.44K","0.67%"
"2017年10月17日","634,682","646,682","656,551","628,475","15.33K","-1.86%"
"2017年10月16日","646,682","640,736","657,214","613,343","17.42K","0.93%"
"2017年10月15日","640,736","641,376","649,894","613,526","24.41K","-0.10%"
"2017年10月14日","641,376","626,833","679,763","579,459","16.75K","2.32%"
"2017年10月13日","626,833","603,830","679,763","535,514","36.63K","3.81%"
"2017年10月12日","603,830","535,745","608,320","526,535","32.06K","12.71%"
"2017年10月11日","535,745","529,605","579,834","522,659","16.30K","1.16%"
"2017年10月10日","529,605","521,316","543,653","509,183","21.19K","1.52%"
"2017年10月09日","521,692","502,668","539,816","497,525","18.32K","3.78%"
"2017年10月08日","502,668","494,927","513,768","489,213","14.98K","1.56%"
"2017年10月07日","494,927","487,560","495,221","482,922","11.00K","1.51%"
"2017年10月06日","487,560","490,673","496,803","469,707","13.78K","-0.63%"
"2017年10月05日","490,673","480,618","491,379","468,064","15.32K","2.09%"
"2017年10月04日","480,618","487,987","491,477","472,229","12.13K","-1.51%"
"2017年10月03日","487,987","489,139","495,358","478,978","14.90K","-0.24%"
"2017年10月02日","489,139","488,197","493,590","473,007","14.09K","0.19%"
"2017年10月01日","488,197","489,003","489,723","466,627","13.64K","-0.16%"
"2017年09月30日","489,003","470,316","489,723","452,331","17.79K","3.97%"
"2017年09月29日","470,316","470,544","478,241","440,686","16.61K","-0.05%"
"2017年09月28日","470,544","476,947","479,015","420,000","16.51K","-1.34%"
"2017年09月27日","476,947","434,942","477,009","420,000","16.80K","9.66%"
"2017年09月26日","434,942","433,470","449,470","407,805","9.62K","0.34%"
"2017年09月25日","433,470","414,530","443,388","396,764","15.20K","4.57%"
"2017年09月24日","414,530","416,338","421,574","401,735","10.44K","-0.43%"
"2017年09月23日","416,338","394,294","422,969","392,374","13.76K","5.59%"
"2017年09月22日","394,294","415,909","454,851","383,071","14.91K","-5.20%"
"2017年09月21日","415,909","438,642","450,326","402,797","15.53K","-5.18%"
"2017年09月20日","438,642","436,101","452,873","406,024","13.37K","0.58%"
"2017年09月19日","436,101","455,084","464,840","411,921","20.40K","-4.17%"
"2017年09月18日","455,084","403,502","463,320","391,103","24.97K","12.78%"
"2017年09月17日","403,502","421,285","453,675","389,877","16.14K","-4.22%"
"2017年09月16日","421,285","411,332","460,707","309,962","25.06K","2.42%"
"2017年09月15日","411,332","342,929","437,284","309,643","45.20K","19.95%"
"2017年09月14日","342,929","439,264","452,732","340,963","30.59K","-21.93%"
"2017年09月13日","439,264","448,767","478,742","413,917","23.89K","-2.12%"
"2017年09月12日","448,767","455,000","478,932","427,359","15.09K","-1.37%"
"2017年09月11日","455,000","425,296","469,489","423,337","13.48K","6.98%"
"2017年09月10日","425,296","443,040","466,151","423,676","18.39K","-4.00%"
"2017年09月09日","443,040","448,511","508,235","441,611","13.56K","-1.22%"
"2017年09月08日","448,511","505,435","510,906","441,379","18.40K","-11.26%"
"2017年09月07日","505,435","500,224","546,595","458,818","10.14K","1.04%"
"2017年09月06日","500,224","485,331","513,146","433,306","16.06K","3.07%"
"2017年09月05日","485,331","462,501","500,813","433,763","28.69K","4.94%"
"2017年09月04日","462,501","509,136","533,057","448,345","23.34K","-9.16%"
"2017年09月03日","509,136","499,205","585,203","490,638","17.95K","1.99%"
"2017年09月02日","499,205","542,277","585,203","498,505","22.93K","-7.94%"
"2017年09月01日","542,277","522,489","551,743","501,000","13.34K","3.79%"
"2017年08月31日","522,489","505,626","528,648","478,000","10.22K","3.34%"
"2017年08月30日","505,626","503,658","522,031","476,718","11.50K","0.39%"
"2017年08月29日","503,658","477,876","515,583","456,538","9.18K","5.40%"
"2017年08月28日","477,876","469,661","484,351","457,780","9.47K","1.75%"
"2017年08月27日","469,661","514,764","514,764","467,486","5.20K","-8.76%"
"2017年08月26日","514,764","478,010","519,142","464,485","5.81K","7.69%"
"2017年08月25日","478,010","468,366","518,438","452,864","10.03K","2.06%"
"2017年08月24日","468,366","453,553","471,958","444,567","9.78K","3.27%"
"2017年08月23日","453,553","446,019","488,850","414,226","12.68K","1.69%"
"2017年08月22日","446,019","446,634","464,207","412,566","21.83K","1.34%"
"2017年08月21日","440,101","456,978","459,732","439,993","9.12K","-3.69%"
"2017年08月20日","456,978","447,091","458,697","431,401","7.60K","2.21%"
"2017年08月19日","447,091","444,090","478,081","430,219","12.96K","-5.40%"
"2017年08月18日","472,613","470,166","528,676","442,379","13.75K","0.52%"
"2017年08月17日","470,166","474,494","531,332","436,766","14.24K","-0.91%"
"2017年08月16日","474,494","457,008","492,745","424,394","16.14K","3.83%"
"2017年08月15日","457,008","464,508","492,632","424,136","23.57K","-1.61%"
"2017年08月14日","464,508","424,424","493,492","418,000","15.06K","9.44%"
"2017年08月13日","424,424","409,442","460,769","404,136","20.94K","3.66%"
"2017年08月12日","409,442","407,736","430,205","372,097","16.52K","0.42%"
"2017年08月11日","407,736","373,256","407,736","366,727","10.77K","9.24%"
"2017年08月10日","373,256","378,630","403,650","360,402","8.55K","-1.42%"
"2017年08月09日","378,630","379,813","410,703","359,964","13.90K","-0.31%"
"2017年08月08日","379,813","406,790","410,703","326,756","18.89K","-6.63%"
"2017年08月07日","406,790","330,195","406,790","323,171","15.63K","23.20%"
"2017年08月06日","330,195","329,884","332,266","316,046","14.85K","0.09%"
"2017年08月05日","329,884","310,886","331,889","292,055","25.65K","6.11%"
"2017年08月04日","310,886","304,985","333,657","290,740","9.16K","1.93%"
"2017年08月03日","304,985","306,007","330,636","296,203","7.44K","-0.33%"
"2017年08月02日","306,007","314,656","332,053","295,993","8.65K","-2.75%"
"2017年08月01日","314,656","315,083","315,175","314,141","17.89K","-0.14%"
"2017年07月31日","315,083","298,744","316,191","278,208","12.81K","5.47%"
"2017年07月30日","298,744","294,359","306,885","270,677","7.65K","1.49%"
"2017年07月29日","294,359","306,935","310,884","270,677","8.05K","-4.10%"
"2017年07月28日","306,935","293,883","308,900","277,260","17.81K","4.44%"
"2017年07月27日","293,883","274,417","294,013","272,827","11.53K","7.09%"
"2017年07月26日","274,417","284,481","309,739","269,445","16.91K","-3.54%"
"2017年07月25日","284,481","303,279","309,434","271,189","23.21K","-6.20%"
"2017年07月24日","303,279","296,284","304,382","280,943","9.28K","2.36%"
"2017年07月23日","296,284","293,762","303,974","281,019","16.69K","0.86%"
"2017年07月22日","293,762","289,944","304,004","276,631","17.78K","1.32%"
"2017年07月21日","289,944","301,981","314,438","238,751","26.98K","-3.99%"
"2017年07月20日","301,981","256,132","314,501","233,806","31.50K","17.90%"
"2017年07月19日","256,132","242,358","266,082","234,103","25.60K","-2.66%"
"2017年07月18日","263,120","245,463","264,321","219,353","24.01K","7.19%"
"2017年07月17日","245,463","209,170","246,641","209,120","24.37K","17.35%"
"2017年07月16日","209,170","230,953","259,469","207,666","20.49K","-9.43%"
"2017年07月15日","230,953","255,488","281,375","230,953","27.88K","-9.60%"
"2017年07月14日","255,488","281,324","284,524","253,852","12.48K","-9.18%"
"2017年07月13日","281,324","281,462","284,458","263,499","9.58K","-0.05%"
"2017年07月12日","281,466","269,523","296,255","265,856","13.18K","4.43%"
"2017年07月11日","269,523","273,789","301,735","267,394","14.75K","-1.56%"
"2017年07月10日","273,789","291,868","302,599","273,735","15.52K","-6.19%"
"2017年07月09日","291,868","295,715","301,809","291,356","4.88K","-1.30%"
"2017年07月08日","295,715","293,044","304,722","291,273","5.63K","0.91%"
"2017年07月07日","293,044","296,418","308,677","291,436","8.93K","-1.14%"
"2017年07月06日","296,418","305,679","311,730","292,534","7.49K","0.81%"
"2017年07月05日","294,032","302,303","314,683","292,408","9.26K","-0.44%"
"2017年07月04日","295,330","296,100","313,696","283,749","11.44K","-0.26%"
"2017年07月03日","296,100","284,630","306,309","274,247","10.29K","4.03%"
"2017年07月02日","284,630","284,340","292,423","262,426","9.91K","0.10%"
"2017年07月01日","284,340","280,085","300,000","262,426","5.86K","1.28%"
"2017年06月30日","280,741","286,974","295,530","272,358","7.97K","-2.17%"
"2017年06月29日","286,974","291,532","297,657","278,583","8.93K","-1.56%"
"2017年06月28日","291,532","286,869","315,922","266,903","11.48K","1.63%"
"2017年06月27日","286,869","281,862","315,131","266,703","17.69K","1.78%"
"2017年06月26日","281,862","286,639","329,408","278,499","18.48K","-1.67%"
"2017年06月25日","286,639","292,514","318,045","285,185","8.21K","-2.01%"
"2017年06月24日","292,514","311,033","314,970","292,514","6.61K","-5.95%"
"2017年06月23日","311,033","303,229","338,280","301,078","5.38K","1.37%"
"2017年06月22日","306,815","295,047","314,187","294,183","5.85K","3.99%"
"2017年06月21日","295,047","303,346","314,442","295,047","10.55K","-2.74%"
"2017年06月20日","303,346","299,208","312,964","285,688","7.30K","1.38%"
"2017年06月19日","299,208","274,511","300,747","274,511","7.92K","9.00%"
"2017年06月18日","274,511","291,365","321,302","274,156","10.58K","-5.78%"
"2017年06月17日","291,365","279,492","321,302","260,555","10.35K","4.25%"
"2017年06月16日","279,492","273,002","310,151","242,276","16.17K","-1.72%"
"2017年06月15日","284,375","308,614","336,948","241,493","26.91K","-7.85%"
"2017年06月14日","308,614","320,694","335,307","284,249","17.23K","-3.77%"
"2017年06月13日","320,694","309,888","361,345","297,214","11.46K","3.49%"
"2017年06月12日","309,888","332,419","361,345","296,128","20.64K","-6.78%"
"2017年06月11日","332,419","324,000","339,535","315,294","7.12K","2.60%"
"2017年06月10日","324,000","321,900","350,177","315,331","7.13K","0.65%"
"2017年06月09日","321,900","317,275","348,936","304,494","7.50K","1.46%"
"2017年06月08日","317,275","320,347","350,599","298,080","11.73K","-0.96%"
"2017年06月07日","320,347","320,283","350,599","298,729","14.66K","0.02%"
"2017年06月06日","320,283","304,546","337,159","288,042","15.19K","5.17%"
"2017年06月05日","304,546","296,356","319,043","275,573","9.16K","2.76%"
"2017年06月04日","296,356","282,821","298,950","267,351","5.75K","4.79%"
"2017年06月03日","282,821","278,197","298,951","278,187","8.36K","1.66%"
"2017年06月02日","278,197","271,102","307,974","260,000","10.39K","2.62%"
"2017年06月01日","271,102","262,456","312,183","249,172","10.47K","3.29%"
"2017年05月31日","262,456","267,155","284,040","248,301","9.68K","-1.76%"
"2017年05月30日","267,155","264,010","291,657","240,168","11.43K","1.19%"
"2017年05月29日","264,010","249,256","297,161","238,300","9.24K","5.92%"
"2017年05月28日","249,256","252,700","278,525","217,596","14.54K","-1.36%"
"2017年05月27日","252,700","260,017","322,539","217,623","19.97K","-2.81%"
"2017年05月26日","260,017","269,662","382,414","255,146","24.11K","-3.58%"
"2017年05月25日","269,662","286,397","382,689","254,061","23.72K","-5.84%"
"2017年05月24日","286,397","254,475","292,120","242,576","16.58K","12.54%"
"2017年05月23日","254,475","249,444","281,490","225,120","16.63K","2.02%"
"2017年05月22日","249,444","226,666","258,492","224,779","18.72K","10.05%"
"2017年05月21日","226,666","231,959","249,390","223,865","13.43K","-2.28%"
"2017年05月20日","231,959","224,118","232,332","216,889","14.29K","3.50%"
"2017年05月19日","224,118","221,809","232,341","209,003","14.25K","1.04%"
"2017年05月18日","221,809","220,621","222,545","198,533","11.63K","0.54%"
"2017年05月17日","220,621","203,828","238,779","186,207","15.91K","8.24%"
"2017年05月16日","203,828","200,102","205,840","192,235","9.83K","1.86%"
"2017年05月15日","200,102","202,196","206,576","193,029","11.86K","-1.04%"
"2017年05月14日","202,196","201,502","206,651","191,048","6.33K","0.34%"
"2017年05月13日","201,502","197,841","212,825","191,048","14.98K","1.85%"
"2017年05月12日","197,841","210,125","231,569","195,996","12.52K","-5.85%"
"2017年05月11日","210,125","203,548","231,569","193,533","9.46K","3.23%"
"2017年05月10日","203,548","195,542","214,031","187,122","11.96K","4.09%"
"2017年05月09日","195,542","174,375","205,634","163,026","18.00K","12.14%"
"2017年05月08日","174,375","176,601","184,227","170,409","18.79K","-1.26%"
"2017年05月07日","176,601","175,887","180,363","169,492","6.06K","0.41%"
"2017年05月06日","175,887","172,305","182,751","169,992","4.41K","2.08%"
"2017年05月05日","172,305","180,000","213,063","161,878","12.84K","-4.28%"
"2017年05月04日","180,000","168,757","214,444","161,000","15.58K","6.66%"
"2017年05月03日","168,757","160,380","169,149","146,856","8.06K","5.22%"
"2017年05月02日","160,380","156,053","169,267","146,856","12.83K","2.77%"
"2017年05月01日","156,053","147,368","158,139","144,758","15.79K","5.89%"
"2017年04月30日","147,368","146,668","149,095","144,758","4.23K","0.48%"
"2017年04月29日","146,668","147,757","150,513","144,758","3.69K","-0.74%"
"2017年04月28日","147,757","148,531","150,747","142,747","11.48K","-0.52%"
"2017年04月27日","148,531","142,180","149,350","141,279","7.60K","4.47%"
"2017年04月26日","142,180","140,115","146,103","138,350","7.28K","1.47%"
"2017年04月25日","140,115","137,283","141,483","134,411","4.50K","2.06%"
"2017年04月24日","137,283","137,550","137,827","132,000","4.92K","-0.19%"
"2017年04月23日","137,550","134,945","137,867","131,235","3.78K","1.28%"
"2017年04月22日","135,813","135,277","137,121","131,308","6.20K","0.40%"
"2017年04月21日","135,277","135,649","137,475","130,671","6.18K","-0.27%"
"2017年04月20日","135,649","129,682","136,245","129,250","6.72K","4.60%"
"2017年04月19日","129,682","128,894","132,739","118,170","5.52K","-0.32%"
"2017年04月18日","130,098","132,146","143,019","118,170","7.49K","-1.55%"
"2017年04月17日","132,146","128,155","132,355","127,647","7.56K","3.11%"
"2017年04月16日","128,155","128,529","140,279","127,906","5.31K","-0.29%"
"2017年04月15日","128,529","131,878","140,031","128,510","5.72K","-2.54%"
"2017年04月14日","131,878","126,876","141,105","125,397","8.31K","3.94%"
"2017年04月13日","126,876","132,432","138,697","120,890","14.65K","-4.19%"
"2017年04月12日","132,432","132,584","135,094","130,271","8.48K","-0.11%"
"2017年04月11日","132,584","132,315","136,003","125,000","7.93K","0.20%"
"2017年04月10日","132,315","131,130","137,101","125,000","5.68K","0.90%"
"2017年04月09日","131,130","128,973","133,719","128,198","7.82K","1.67%"
"2017年04月08日","128,973","131,877","132,814","121,165","7.67K","-2.27%"
"2017年04月07日","131,974","130,836","132,751","121,165","9.66K","0.87%"
"2017年04月06日","130,836","122,931","131,273","122,352","14.34K","6.43%"
"2017年04月05日","122,931","125,909","129,622","122,086","10.13K","-2.37%"
"2017年04月04日","125,909","127,783","129,700","121,753","16.20K","-1.47%"
"2017年04月03日","127,783","121,269","129,853","119,369","18.56K","5.37%"
"2017年04月02日","121,269","120,274","122,304","119,129","6.75K","0.90%"
"2017年04月01日","120,185","120,420","125,000","114,646","10.98K","-0.20%"
"2017年03月31日","120,420","115,078","121,796","108,000","11.23K","4.64%"
"2017年03月30日","115,078","115,506","117,074","113,071","11.50K","-0.37%"
"2017年03月29日","115,506","114,658","118,518","112,336","16.39K","0.74%"
"2017年03月28日","114,658","118,017","127,059","107,633","15.80K","-2.85%"
"2017年03月27日","118,017","107,145","118,017","104,678","19.21K","10.15%"
"2017年03月26日","107,145","106,178","111,136","100,529","20.70K","0.91%"
"2017年03月25日","106,178","114,536","114,536","100,518","22.45K","-7.30%"
"2017年03月24日","114,536","114,611","118,784","106,326","24.32K","-0.07%"
"2017年03月23日","114,611","123,251","127,777","113,536","23.71K","-6.72%"
"2017年03月22日","122,865","124,226","127,946","112,372","25.39K","-1.10%"
"2017年03月21日","124,226","117,932","128,281","114,663","18.61K","5.34%"
"2017年03月20日","117,932","123,983","126,501","111,704","17.14K","-4.88%"
"2017年03月19日","123,983","118,881","137,684","111,591","21.44K","4.29%"
"2017年03月18日","118,881","127,732","137,955","113,341","27.54K","-6.93%"
"2017年03月17日","127,732","132,078","145,908","126,760","21.88K","-3.29%"
"2017年03月16日","132,078","142,555","145,996","132,051","17.99K","-7.35%"
"2017年03月15日","142,555","143,935","152,097","141,107","10.82K","-0.96%"
"2017年03月14日","143,935","141,174","146,139","139,659","11.13K","1.96%"
"2017年03月13日","141,174","139,310","146,424","133,511","12.62K","1.34%"
"2017年03月12日","139,310","134,522","141,149","133,116","9.64K","3.56%"
"2017年03月11日","134,522","126,281","149,242","123,985","14.51K","6.53%"
"2017年03月10日","126,281","144,758","149,029","122,193","26.98K","-12.76%"
"2017年03月09日","144,758","130,884","144,758","126,264","18.09K","10.60%"
"2017年03月08日","130,884","140,775","146,659","130,884","42.82K","-7.03%"
"2017年03月07日","140,775","148,097","148,334","138,723","18.24K","-4.94%"
"2017年03月06日","148,097","146,435","148,192","135,216","13.20K","4.18%"
"2017年03月05日","142,160","144,144","147,472","140,725","10.32K","-1.38%"
"2017年03月04日","144,144","146,572","147,902","135,758","13.56K","-1.66%"
"2017年03月03日","146,572","142,931","148,451","135,675","20.83K","2.55%"
"2017年03月02日","142,931","137,788","145,018","132,404","26.56K","3.73%"
"2017年03月01日","137,788","134,747","137,788","124,773","18.82K","2.26%"
"2017年02月28日","134,747","133,308","136,911","130,456","19.18K","1.08%"
"2017年02月27日","133,308","131,550","134,078","129,348","19.29K","1.34%"
"2017年02月26日","131,550","119,021","133,730","119,021","19.58K","10.53%"
"2017年02月25日","119,021","132,465","135,910","119,021","20.42K","-10.15%"
"2017年02月24日","132,465","129,842","137,981","120,000","34.70K","2.02%"
"2017年02月23日","129,842","126,921","130,999","120,000","27.70K","2.30%"
"2017年02月22日","126,921","126,710","127,846","116,391","26.65K","0.17%"
"2017年02月21日","126,710","122,236","127,029","117,384","32.08K","3.66%"
"2017年02月20日","122,236","119,953","122,236","117,557","13.29K","1.90%"
"2017年02月19日","119,953","119,237","120,600","117,740","13.82K","0.60%"
"2017年02月18日","119,237","119,621","120,386","116,870","16.86K","-0.32%"
"2017年02月17日","119,621","117,793","120,364","115,234","25.78K","1.55%"
"2017年02月16日","117,793","115,011","118,589","113,911","22.16K","2.42%"
"2017年02月15日","115,011","113,435","116,940","113,435","15.55K","1.39%"
"2017年02月14日","113,435","113,723","116,439","105,153","22.66K","-0.25%"
"2017年02月13日","113,723","114,136","118,554","110,554","19.55K","-0.36%"
"2017年02月12日","114,136","113,186","116,195","112,416","12.49K","0.84%"
"2017年02月11日","113,186","113,220","115,548","108,238","20.16K","-0.03%"
"2017年02月10日","113,220","113,402","122,519","108,226","28.24K","-0.16%"
"2017年02月09日","113,402","116,776","122,290","107,105","40.56K","-2.89%"
"2017年02月08日","116,776","118,068","121,771","114,123","29.13K","-1.09%"
"2017年02月07日","118,068","114,746","118,774","111,772","21.56K","2.89%"
"2017年02月06日","114,746","113,506","115,701","113,112","16.07K","1.09%"
"2017年02月05日","113,506","114,385","115,879","112,107","18.08K","-0.77%"
"2017年02月04日","114,385","114,659","115,351","111,859","24.76K","-0.24%"
"2017年02月03日","114,659","112,163","115,677","109,301","32.35K","2.23%"
"2017年02月02日","112,163","111,019","112,667","107,061","23.92K","1.03%"
"2017年02月01日","111,019","108,192","111,618","99,136","27.70K","2.61%"
"2017年01月31日","108,192","104,284","108,268","99,136","25.97K","3.75%"
"2017年01月30日","104,284","104,916","105,471","102,878","12.67K","-0.60%"
"2017年01月29日","104,916","105,252","106,315","104,718","10.74K","-0.32%"
"2017年01月28日","105,252","104,000","106,315","103,957","10.32K","1.20%"
"2017年01月27日","104,000","103,490","106,014","102,244","15.54K","0.49%"
"2017年01月26日","103,490","100,057","105,420","99,920","19.54K","3.43%"
"2017年01月25日","100,057","101,589","104,243","100,000","15.83K","-1.51%"
"2017年01月24日","101,589","103,728","104,698","100,952","21.94K","-2.06%"
"2017年01月23日","103,728","104,470","105,811","99,967","20.59K","-0.71%"
"2017年01月22日","104,470","105,004","106,564","95,296","24.05K","-0.51%"
"2017年01月21日","105,004","103,508","106,001","100,557","20.16K","1.45%"
"2017年01月20日","103,508","103,643","105,818","100,307","17.51K","-0.13%"
"2017年01月19日","103,643","99,016","105,316","98,331","21.38K","4.67%"
"2017年01月18日","99,016","102,392","105,363","93,754","32.11K","-3.30%"
"2017年01月17日","102,392","94,857","103,061","90,691","32.62K","7.94%"
"2017年01月16日","94,857","92,499","95,406","88,312","23.04K","2.55%"
"2017年01月15日","92,499","91,614","102,590","88,284","29.93K","0.97%"
"2017年01月14日","91,614","93,878","102,590","89,315","37.47K","-2.41%"
"2017年01月13日","93,878","93,497","94,444","88,273","40.58K","0.41%"
"2017年01月12日","93,497","88,836","105,975","87,043","38.85K","5.25%"
"2017年01月11日","88,836","105,266","106,858","88,645","47.23K","-15.61%"
"2017年01月10日","105,266","106,400","106,400","102,437","34.76K","-1.07%"
"2017年01月09日","106,400","110,455","110,746","101,983","27.51K","-3.67%"
"2017年01月08日","110,455","105,381","112,326","95,069","31.99K","4.81%"
"2017年01月07日","105,381","108,571","114,603","95,080","25.39K","-2.94%"
"2017年01月06日","108,571","112,744","137,394","98,672","25.76K","-3.70%"
"2017年01月05日","112,744","130,010","139,065","101,769","36.97K","-13.28%"
"2017年01月04日","130,010","115,396","130,167","114,740","44.38K","12.66%"
"2017年01月03日","115,396","116,707","121,367","114,291","45.17K","-1.12%"
"2017年01月02日","116,707","114,101","118,165","111,027","8.13K","2.28%"
"2017年01月01日","114,101","111,316","114,594","108,568","25.49K","2.50%"
"2016年12月31日","111,316","112,143","113,650","109,871","36.41K","-0.74%"
"2016年12月30日","112,143","113,740","114,678","108,771","34.82K","-1.40%"
"2016年12月29日","113,740","111,750","114,001","106,494","28.42K","1.78%"
"2016年12月28日","111,750","107,088","112,878","100,424","25.06K","4.35%"
"2016年12月27日","107,088","105,593","113,651","100,114","25.51K","1.42%"
"2016年12月26日","105,593","103,346","105,629","96,288","23.38K","2.17%"
"2016年12月25日","103,346","103,488","108,111","96,472","26.21K","-0.14%"
"2016年12月24日","103,488","104,410","108,121","100,550","19.05K","-0.88%"
"2016年12月23日","104,410","98,431","105,411","98,123","24.28K","6.07%"
"2016年12月22日","98,431","96,314","104,538","93,415","26.98K","2.20%"
"2016年12月21日","96,314","93,483","104,538","92,402","20.45K","3.03%"
"2016年12月20日","93,483","92,544","93,700","90,492","24.50K","1.02%"
"2016年12月19日","92,544","92,139","92,766","91,653","17.99K","0.44%"
"2016年12月18日","92,139","93,393","98,000","92,121","16.01K","-1.34%"
"2016年12月17日","93,393","92,445","93,761","90,878","20.66K","1.03%"
"2016年12月16日","92,445","92,228","98,000","90,094","16.79K","0.24%"
"2016年12月15日","92,228","90,959","98,000","90,092","19.98K","1.39%"
