"日付け","終値","始値","高値","安値","出来高","前日比%"
"2019年07月06日","1,224,026","1,197,495","1,269,995","1,196,989","31.14K","2.41%"
"2019年07月05日","1,195,178","1,205,814","1,243,866","1,170,639","40.10K","-0.90%"
"2019年07月04日","1,206,079","1,292,425","1,299,086","1,199,188","40.79K","-6.68%"
"2019年07月03日","1,292,426","1,172,698","1,295,301","1,172,698","52.90K","10.33%"
"2019年07月02日","1,171,421","1,154,967","1,181,865","1,051,372","55.35K","1.43%"
"2019年07月01日","1,154,959","1,174,214","1,220,585","1,090,248","49.48K","-1.36%"
"2019年06月30日","1,170,832","1,288,833","1,321,615","1,165,546","40.26K","-9.16%"
"2019年06月29日","1,288,913","1,341,049","1,342,471","1,235,555","40.41K","-3.96%"
"2019年06月28日","1,342,019","1,220,270","1,347,171","1,166,399","61.75K","9.98%"
"2019年06月27日","1,220,273","1,399,677","1,437,537","1,120,182","101.17K","-12.82%"
"2019年06月26日","1,399,725","1,261,212","1,497,433","1,253,175","93.78K","11.01%"
"2019年06月25日","1,260,919","1,181,878","1,264,661","1,181,425","44.07K","6.69%"
"2019年06月24日","1,181,861","1,164,919","1,189,734","1,135,722","33.03K","1.45%"
"2019年06月23日","1,164,918","1,145,081","1,204,449","1,127,751","37.66K","1.71%"
"2019年06月22日","1,145,327","1,096,889","1,201,048","1,084,427","70.11K","4.40%"
"2019年06月21日","1,097,018","1,023,779","1,097,437","1,023,779","40.32K","7.15%"
"2019年06月20日","1,023,780","1,002,303","1,030,444","995,289","26.35K","2.14%"
"2019年06月19日","1,002,290","986,768","1,006,171","982,629","19.96K","1.57%"
"2019年06月18日","986,749","1,013,576","1,015,416","971,905","30.40K","-2.62%"
"2019年06月17日","1,013,251","977,091","1,027,035","976,215","37.51K","3.70%"
"2019年06月16日","977,090","961,730","1,020,692","956,104","53.80K","1.63%"
"2019年06月15日","961,397","945,772","966,005","937,454","26.56K","1.66%"
"2019年06月14日","945,743","894,190","949,024","888,585","28.87K","5.78%"
"2019年06月13日","894,106","887,485","904,405","870,188","19.76K","0.73%"
"2019年06月12日","887,623","861,412","898,156","852,258","24.42K","3.04%"
"2019年06月11日","861,412","871,173","874,105","840,375","21.02K","-1.12%"
"2019年06月10日","871,212","833,349","877,773","819,788","27.07K","4.55%"
"2019年06月09日","833,320","861,445","864,567","819,889","23.02K","-3.26%"
"2019年06月08日","861,424","867,776","873,143","845,763","18.64K","-0.73%"
"2019年06月07日","867,776","846,697","880,988","842,497","24.73K","2.49%"
"2019年06月06日","846,679","845,012","853,462","808,323","25.80K","0.22%"
"2019年06月05日","844,813","831,235","858,684","821,605","36.53K","1.64%"
"2019年06月04日","831,160","879,722","879,722","812,811","46.53K","-5.55%"
"2019年06月03日","880,032","946,712","947,319","875,437","32.85K","-7.04%"
"2019年06月02日","946,712","925,815","954,988","924,900","21.06K","2.26%"
"2019年06月01日","925,776","928,725","933,317","916,786","17.95K","-0.32%"
"2019年05月31日","928,745","906,741","931,506","886,432","34.40K","2.43%"
"2019年05月30日","906,741","949,313","993,385","876,689","49.21K","-4.48%"
"2019年05月29日","949,317","952,631","956,388","923,296","30.31K","-0.35%"
"2019年05月28日","952,614","959,740","964,249","936,895","25.22K","-0.74%"
"2019年05月27日","959,748","955,141","977,291","947,579","39.24K","0.48%"
"2019年05月26日","955,142","883,035","958,142","866,059","37.97K","8.13%"
"2019年05月25日","883,300","874,562","890,054","869,765","19.69K","0.95%"
"2019年05月24日","875,003","863,635","892,772","855,915","27.87K","1.32%"
"2019年05月23日","863,646","842,975","875,067","825,120","27.37K","2.46%"
"2019年05月22日","842,915","879,352","886,418","831,905","30.02K","-4.15%"
"2019年05月21日","879,366","879,393","894,738","863,816","31.79K","-0.00%"
"2019年05月20日","879,403","899,116","899,886","835,649","48.41K","-2.23%"
"2019年05月19日","899,495","801,340","910,073","800,228","52.37K","12.25%"
"2019年05月18日","801,340","813,458","823,001","796,081","30.17K","-1.43%"
"2019年05月17日","813,003","867,155","872,957","742,112","60.96K","-6.25%"
"2019年05月16日","867,208","895,824","916,724","846,090","45.53K","-3.27%"
"2019年05月15日","896,528","876,299","904,601","862,364","44.63K","2.34%"
"2019年05月14日","876,017","855,670","913,508","836,207","88.39K","2.35%"
"2019年05月13日","855,933","765,472","891,574","753,650","91.94K","11.77%"
"2019年05月12日","765,777","793,088","835,309","743,950","112.56K","-4.05%"
"2019年05月11日","798,077","698,891","842,173","698,520","104.19K","14.19%"
"2019年05月10日","698,891","675,006","705,214","671,906","53.00K","3.60%"
"2019年05月09日","674,582","653,377","677,041","652,395","42.76K","3.24%"
"2019年05月08日","653,391","635,445","657,361","625,721","36.88K","2.67%"
"2019年05月07日","636,368","629,385","659,504","629,385","53.03K","1.11%"
"2019年05月06日","629,384","633,392","637,903","616,003","37.62K","-0.63%"
"2019年05月05日","633,360","640,997","641,621","626,995","34.88K","-1.19%"
"2019年05月04日","641,001","629,323","647,777","613,558","48.60K","1.90%"
"2019年05月03日","629,051","602,000","645,894","600,028","55.02K","4.49%"
"2019年05月02日","602,000","594,064","605,020","592,481","25.67K","1.34%"
"2019年05月01日","594,065","587,366","595,442","587,016","25.08K","1.14%"
"2019年04月30日","587,366","577,148","589,748","575,113","26.65K","1.79%"
"2019年04月29日","577,055","579,280","581,078","572,246","22.25K","-0.38%"
"2019年04月28日","579,280","579,645","583,664","574,153","19.15K","-0.07%"
"2019年04月27日","579,677","578,629","584,024","574,535","20.88K","0.18%"
"2019年04月26日","578,626","577,449","589,629","568,395","51.39K","0.20%"
"2019年04月25日","577,475","611,275","616,005","561,188","48.49K","-5.53%"
"2019年04月24日","611,285","619,601","628,363","603,245","49.91K","-1.43%"
"2019年04月23日","620,167","603,056","630,788","601,073","49.80K","2.84%"
"2019年04月22日","603,056","593,745","608,642","590,180","35.73K","1.60%"
"2019年04月21日","593,580","596,002","598,159","584,910","27.97K","-0.41%"
"2019年04月20日","596,002","591,425","599,038","589,295","28.15K","0.77%"
"2019年04月19日","591,419","591,548","598,735","583,217","36.06K","0.01%"
"2019年04月18日","591,354","584,729","594,747","584,349","32.77K","1.14%"
"2019年04月17日","584,703","582,420","588,684","579,819","31.56K","0.41%"
"2019年04月16日","582,311","563,429","585,509","562,205","44.98K","3.24%"
"2019年04月15日","564,052","577,772","580,119","555,095","36.43K","-2.37%"
"2019年04月14日","577,749","568,043","579,926","563,268","26.60K","1.65%"
"2019年04月13日","568,392","569,322","574,026","565,408","26.95K","-0.23%"
"2019年04月12日","569,714","564,139","572,732","549,131","40.65K","0.99%"
"2019年04月11日","564,125","591,054","593,818","553,994","59.91K","-4.56%"
"2019年04月10日","591,054","577,219","605,948","574,233","52.04K","2.39%"
"2019年04月09日","577,246","589,261","589,261","573,571","55.81K","-2.04%"
"2019年04月08日","589,259","578,970","595,138","572,119","68.64K","1.77%"
"2019年04月07日","578,990","560,826","586,053","560,024","50.32K","3.24%"
"2019年04月06日","560,826","562,961","585,907","544,887","50.62K","-0.39%"
"2019年04月05日","563,028","547,784","564,772","546,098","40.60K","2.78%"
"2019年04月04日","547,781","554,898","565,734","534,414","60.65K","-1.29%"
"2019年04月03日","554,916","545,408","596,217","538,980","126.96K","1.63%"
"2019年04月02日","546,022","460,140","570,703","459,835","126.74K","18.66%"
"2019年04月01日","460,140","453,399","461,307","449,577","32.51K","1.49%"
"2019年03月31日","453,399","453,250","454,763","451,443","15.38K","0.03%"
"2019年03月30日","453,253","452,949","457,443","447,890","23.05K","0.07%"
"2019年03月29日","452,949","443,449","453,781","443,185","32.26K","2.14%"
"2019年03月28日","443,449","444,528","444,528","440,236","17.56K","-0.26%"
"2019年03月27日","444,594","433,140","445,211","432,543","30.44K","2.64%"
